Student_Query,Target_Intent
What is the course syllabus structure details?,course_syllabus
tell me the syllabus,course_syllabus
സിലബസിന്റെ ഘടന എന്താണ്?,course_syllabus
How many subjects are included course semester?,course_subjects
subjects per sem,course_subjects
ഒരു സെമസ്റ്ററിൽ എത്ര വിഷയങ്ങൾ ഉണ്ട്?,course_subjects
What is course duration total years?,course_duration
how long is the course,course_duration
കോഴ്സിന്റെ കാലാവധി എത്രയാണ്?,course_duration
Is this course approved university recognition?,course_recognition
is it university approved,course_recognition
ഇതിന് യൂണിവേഴ്സിറ്റി അംഗീകാരം ഉണ്ടോ?,course_recognition
What are course eligibility criteria requirements?,course_eligibility
eligibility for admission,course_eligibility
യോഗ്യതാ മാനദണ്ഡങ്ങൾ എന്തൊക്കെയാണ്?,course_eligibility
Does course include internship training program?,course_internship
any internships provided,course_internship
ഇന്റേൺഷിപ്പ് ഉണ്ടോ?,course_internship
What are course learning outcomes expected?,course_learning_outcomes
what will i learn,course_learning_outcomes
എന്തൊക്കെയാണ് പഠിക്കാൻ കഴിയുക?,course_learning_outcomes
How to download course curriculum PDF?,download_curriculum
download syllabus pdf,download_curriculum
സിലബസ് PDF എങ്ങനെ ഡൗൺലോഡ് ചെയ്യാം?,download_curriculum
Is course available online offline mode?,course_delivery_mode
is there online classes,course_delivery_mode
ഓൺലൈൻ ക്ലാസുകൾ ലഭ്യമാണോ?,course_delivery_mode
What is course specialization options available?,course_specializations
what specializations do u offer,course_specializations
ഏതൊക്കെ സ്പെഷ്യലൈസേഷൻ ലഭ്യമാണ്?,course_specializations
How many credits required course completion?,course_credits
total credits to pass,course_credits
എത്ര ക്രെഡിറ്റുകൾ വേണം?,course_credits
What is course admission process steps?,course_admission_process
how to apply,course_admission_process
അഡ്മിഷൻ നടപടികൾ എന്തൊക്കെയാണ്?,course_admission_process
Are there elective subjects course structure?,course_electives
do we have electives,course_electives
ഇലക്ടീവ് വിഷയങ്ങൾ ഉണ്ടോ?,course_electives
What is course fee structure details?,course_fee_structure
how much is the fees,course_fee_structure
ഫീസ് എത്രയാണ്?,course_fee_structure
Is course suitable beginners background students?,course_beginner_friendly
im a beginner can i join,course_beginner_friendly
തുടക്കക്കാർക്ക് ഇത് പഠിക്കാമോ?,course_beginner_friendly
What is course industry relevance scope?,course_industry_scope
job scope for this course,course_industry_scope
ഇതിന്റെ തൊഴിൽ സാധ്യതകൾ എന്താണ്?,course_industry_scope
Are practical labs included course syllabus?,course_practical_labs
do we have practicals,course_practical_labs
പ്രാക്ടിക്കൽ ലാബുകൾ ഉണ്ടോ?,course_practical_labs
How to change course specialization option?,change_specialization
can i switch my specialization,change_specialization
സ്പെഷ്യലൈസേഷൻ മാറ്റാൻ കഴിയുമോ?,change_specialization
What is course semester system pattern?,semester_system
how does the semester system work,semester_system
സെമസ്റ്റർ രീതി എങ്ങനെയാണ്?,semester_system
Does course include project work mandatory?,course_project_work
is final year project compulsory,course_project_work
പ്രോജക്ട് നിർബന്ധമാണോ?,course_project_work
What is course language medium instruction?,course_instruction_language
medium of teaching,course_instruction_language
പഠന മാധ്യമം ഏതാണ്?,course_instruction_language
Are there certification exams course included?,course_certifications
do we get certificates,course_certifications
സർട്ടിഫിക്കറ്റ് ലഭിക്കുമോ?,course_certifications
What is course upgrade option availability?,course_upgrade_options
can i upgrade my course,course_upgrade_options
കോഴ്സ് അപ്ഗ്രേഡ് ചെയ്യാൻ കഴിയുമോ?,course_upgrade_options
Can students switch course mid semester?,switch_course_mid_semester
change course midway,switch_course_mid_semester
സെമസ്റ്ററിന്റെ ഇടയിൽ കോഴ്സ് മാറ്റാമോ?,switch_course_mid_semester
What is course accreditation status details?,course_accreditation
is this naac accredited,course_accreditation
കോഴ്സിന് അംഗീകാരം ഉണ്ടോ?,course_accreditation
How to check course availability seats?,course_seat_availability
how many seats left,course_seat_availability
എത്ര സീറ്റുകൾ ബാക്കിയുണ്ട്?,course_seat_availability
What is course registration last date?,course_registration_deadline
last date to apply,course_registration_deadline
അപേക്ഷിക്കേണ്ട അവസാന തീയതി എന്നാണ്?,course_registration_deadline
Are bridge courses available new students?,course_bridge_program
bridge course for freshers,course_bridge_program
ബ്രിഡ്ജ് കോഴ്സുകൾ ലഭ്യമാണോ?,course_bridge_program
What is course evaluation method used?,course_evaluation_method
how are we graded,course_evaluation_method
മൂല്യനിർണ്ണയ രീതി എങ്ങനെയാണ്?,course_evaluation_method
Is there course orientation program schedule?,course_orientation
when is orientation day,course_orientation
ഓറിയന്റേഷൻ പ്രോഗ്രാം എപ്പോഴാണ്?,course_orientation
What is assignment submission deadline policy?,assignment_deadline
assignment due date,assignment_deadline
അസൈൻമെന്റ് സമർപ്പിക്കേണ്ട അവസാന തീയതി?,assignment_deadline
How to upload assignment online portal?,assignment_upload_portal
where to submit assignment online,assignment_upload_portal
അസൈൻമെന്റ് എങ്ങനെ അപ്‌ലോഡ് ചെയ്യാം?,assignment_upload_portal
What is assignment format document requirements?,assignment_format_requirements
pdf or word format,assignment_format_requirements
ഏത് ഫോർമാറ്റിലാണ് നൽകേണ്ടത്?,assignment_format_requirements
Are handwritten assignments allowed submission?,handwritten_assignments
can i handwrite the assignment,handwritten_assignments
കൈകൊണ്ട് എഴുതിയത് നൽകാമോ?,handwritten_assignments
What is late submission penalty marks?,late_submission_penalty
marks cut for late submission,late_submission_penalty
വൈകി നൽകിയാൽ മാർക്ക് കുറയുമോ?,late_submission_penalty
How many assignments per subject required?,assignments_per_subject
total assignments per sem,assignments_per_subject
ഒരു വിഷയത്തിന് എത്ര അസൈൻമെന്റ് വേണം?,assignments_per_subject
What is plagiarism policy assignment rules?,assignment_plagiarism_policy
plagarism rules,assignment_plagiarism_policy
കോപ്പിയടിച്ചാലുള്ള നിയമങ്ങൾ എന്താണ്?,assignment_plagiarism_policy
Can assignment be resubmitted corrections?,assignment_resubmission
resubmit my assignment,assignment_resubmission
തെറ്റുകൾ തിരുത്തി വീണ്ടും നൽകാമോ?,assignment_resubmission
What is assignment grading criteria details?,assignment_grading_criteria
how are assignments marked,assignment_grading_criteria
മാർക്ക് നൽകുന്ന മാനദണ്ഡങ്ങൾ എന്തൊക്കെ?,assignment_grading_criteria
Are group assignments allowed collaboration?,group_assignments
can we do it as a group,group_assignments
ഗ്രൂപ്പായി അസൈൻമെന്റ് ചെയ്യാമോ?,group_assignments
How to check assignment feedback comments?,assignment_feedback
view teacher feedback,assignment_feedback
ടീച്ചറുടെ അഭിപ്രായങ്ങൾ എങ്ങനെ കാണാം?,assignment_feedback
What is assignment file size limit upload?,assignment_file_size
max file size for upload,assignment_file_size
ഫയൽ സൈസ് എത്ര വരെ ആകാം?,assignment_file_size
Can parents track assignment submission status?,parent_track_assignments
can my parents see my submissions,parent_track_assignments
രക്ഷിതാക്കൾക്ക് അസൈൻമെന്റ് വിവരങ്ങൾ കാണാമോ?,parent_track_assignments
What is assignment evaluation timeline process?,assignment_evaluation_timeline
how long to grade assignment,assignment_evaluation_timeline
മാർക്ക് വരാൻ എത്ര സമയം എടുക്കും?,assignment_evaluation_timeline
Are assignments compulsory pass criteria?,assignment_compulsory_pass
do i have to pass assignments,assignment_compulsory_pass
അസൈൻമെന്റ് പാസ്സാകേണ്ടത് നിർബന്ധമാണോ?,assignment_compulsory_pass
How to request assignment extension approval?,assignment_extension
need more time for assignment,assignment_extension
അസൈൻമെന്റ് നൽകാൻ സമയം നീട്ടിത്തരുമോ?,assignment_extension
What is assignment topic selection guidelines?,assignment_topic_selection
how to choose topic,assignment_topic_selection
വിഷയം എങ്ങനെ തിരഞ്ഞെടുക്കാം?,assignment_topic_selection
Can assignment be submitted offline mode?,offline_assignment_submission
submit hard copy,offline_assignment_submission
ഓഫ്‌ലൈനായി സമർപ്പിക്കാമോ?,offline_assignment_submission
What is assignment marking rubric system?,assignment_marking_rubric
show me the marking rubric,assignment_marking_rubric
മാർക്കിംഗ് റൂബ്രിക് എന്താണ്?,assignment_marking_rubric
Are assignments included final grade calculation?,assignments_final_grade
do assignments count for final marks,assignments_final_grade
അസൈൻമെന്റ് മാർക്ക് ഫൈനൽ എക്സാമിൽ കൂടുമോ?,assignments_final_grade
What is assignment plagiarism checking tool?,plagiarism_checking_tool
which software checks plagarism,plagiarism_checking_tool
ഏത് ടൂൾ ഉപയോഗിച്ചാണ് കോപ്പിയടി പരിശോധിക്കുന്നത്?,plagiarism_checking_tool
Can students skip assignment submission?,skip_assignment
what if i dont submit,skip_assignment
അസൈൻമെന്റ് നൽകിയില്ലെങ്കിൽ എന്ത് സംഭവിക്കും?,skip_assignment
What is assignment revision correction policy?,assignment_revision_policy
can i revise my work,assignment_revision_policy
അസൈൻമെന്റ് തിരുത്താൻ സാധിക്കുമോ?,assignment_revision_policy
Are assignment templates provided institute?,assignment_templates
is there a cover page template,assignment_templates
കവർ പേജ് ടെംപ്ലേറ്റ് ഉണ്ടോ?,assignment_templates
How to contact teacher assignment clarification?,contact_teacher_assignment
ask teacher about assignment,contact_teacher_assignment
സംശയങ്ങൾക്ക് ടീച്ചറെ എങ്ങനെ ബന്ധപ്പെടാം?,contact_teacher_assignment
What is minimum attendance percentage required?,minimum_attendance
min attendence to pass,minimum_attendance
എത്ര ശതമാനം ഹാജർ നിർബന്ധമാണ്?,minimum_attendance
How to check attendance status online?,check_attendance_status
view my attendance,check_attendance_status
എന്റെ ഹാജർ എങ്ങനെ ഓൺലൈനിൽ നോക്കാം?,check_attendance_status
What is attendance shortage penalty rules?,attendance_shortage_penalty
what happens if attendance is low,attendance_shortage_penalty
ഹാജർ കുറഞ്ഞാലുള്ള ശിക്ഷ എന്താണ്?,attendance_shortage_penalty
Can attendance be condoned medical reasons?,medical_attendance_condonation
medical leave for attendance,medical_attendance_condonation
മെഡിക്കൽ കാരണം പറഞ്ഞ് അവധി എടുക്കാമോ?,medical_attendance_condonation
How to apply attendance leave approval?,apply_attendance_leave
how to apply for leave,apply_attendance_leave
അവധിക്ക് എങ്ങനെ അപേക്ഷിക്കാം?,apply_attendance_leave
What is attendance calculation method system?,attendance_calculation_method
how is attendance calculated,attendance_calculation_method
ഹാജർ എങ്ങനെയാണ് കണക്കാക്കുന്നത്?,attendance_calculation_method
Are online classes attendance counted?,online_class_attendance
do online classes count for attendence,online_class_attendance
ഓൺലൈൻ ക്ലാസുകൾക്ക് ഹാജർ ഉണ്ടോ?,online_class_attendance
What is attendance marking system biometric?,biometric_attendance
is there biometric attendance,biometric_attendance
ബയോമെട്രിക് ഹാജർ സംവിധാനം ഉണ്ടോ?,biometric_attendance
Can parents view attendance report daily?,parents_view_attendance
can parents check attendence,parents_view_attendance
രക്ഷിതാക്കൾക്ക് ഹാജർ കാണാൻ സാധിക്കുമോ?,parents_view_attendance
What is attendance defaulter warning policy?,attendance_warning_policy
shortage of attendance warning,attendance_warning_policy
ഹാജർ കുറഞ്ഞാൽ മുന്നറിയിപ്പ് ലഭിക്കുമോ?,attendance_warning_policy
How many leaves allowed attendance criteria?,allowed_leaves_count
how many days can i take leave,allowed_leaves_count
എത്ര ദിവസം അവധി എടുക്കാം?,allowed_leaves_count
What is attendance requirement exam eligibility?,attendance_exam_eligibility
attendence needed for exams,attendance_exam_eligibility
പരീക്ഷ എഴുതാൻ എത്ര ഹാജർ വേണം?,attendance_exam_eligibility
Can attendance be corrected errors report?,attendance_correction
attendance marked absent by mistake,attendance_correction
തെറ്റായി ഹാജർ രേഖപ്പെടുത്തിയാൽ മാറ്റാമോ?,attendance_correction
What is attendance tracking mobile app?,attendance_mobile_app
app for checking attendance,attendance_mobile_app
ഹാജർ നോക്കാൻ മൊബൈൽ ആപ്പ് ഉണ്ടോ?,attendance_mobile_app
Are late entries counted attendance present?,late_entry_attendance
late to class attendance,late_entry_attendance
ക്ലാസ്സിൽ വൈകി വന്നാൽ ഹാജർ കിട്ടുമോ?,late_entry_attendance
What is attendance audit verification process?,attendance_audit
attendance verification process,attendance_audit
ഹാജർ പരിശോധിക്കുന്നത് എങ്ങനെയാണ്?,attendance_audit
Can attendance be transferred between sections?,transfer_attendance
transfer attendance to new section,transfer_attendance
സെക്ഷൻ മാറിയാൽ ഹാജർ മാറ്റിക്കിട്ടുമോ?,transfer_attendance
What is attendance holiday exemption rules?,holiday_attendance_exemption
do holidays count in attendance,holiday_attendance_exemption
അവധികൾ ഹാജറിനെ ബാധിക്കുമോ?,holiday_attendance_exemption
How to download attendance report PDF?,download_attendance_report
download attendance sheet,download_attendance_report
ഹാജർ റിപ്പോർട്ട് എങ്ങനെ ഡൗൺലോഡ് ചെയ്യാം?,download_attendance_report
What is attendance shortage re-evaluation process?,attendance_reevaluation
recalculate my attendance,attendance_reevaluation
ഹാജർ വീണ്ടും പരിശോധിക്കാൻ കഴിയുമോ?,attendance_reevaluation
Are practical classes attendance compulsory?,practical_class_attendance
is lab attendance strict,practical_class_attendance
പ്രാക്ടിക്കൽ ക്ലാസുകൾക്ക് ഹാജർ നിർബന്ധമാണോ?,practical_class_attendance
What is attendance grace marks policy?,attendance_grace_marks
grace marks for full attendance,attendance_grace_marks
മുഴുവൻ ഹാജർ ഉണ്ടെങ്കിൽ ഗ്രേസ് മാർക്ക് കിട്ടുമോ?,attendance_grace_marks
How attendance affects internal marks grading?,attendance_internal_marks
marks for attendance,attendance_internal_marks
ഹാജർ ഇന്റേണൽ മാർക്കിനെ ബാധിക്കുമോ?,attendance_internal_marks
Can attendance be waived special cases?,attendance_waiver
attendance waiver for sports,attendance_waiver
പ്രത്യേക സാഹചര്യങ്ങളിൽ ഹാജർ ഇളവ് ലഭിക്കുമോ?,attendance_waiver
What is attendance policy for internships?,internship_attendance_policy
attendance during internship,internship_attendance_policy
ഇന്റേൺഷിപ്പ് സമയത്തെ ഹാജർ എങ്ങനെയാണ്?,internship_attendance_policy
What is exam rules regulations policy?,exam_rules_policy
what are the rules for exams,exam_rules_policy
പരീക്ഷാ നിയമങ്ങൾ എന്തൊക്കെയാണ്?,exam_rules_policy
How to apply exam hall ticket?,apply_hall_ticket
where to get hallticket,apply_hall_ticket
ഹാൾ ടിക്കറ്റിന് എങ്ങനെ അപേക്ഷിക്കാം?,apply_hall_ticket
What is exam revaluation process steps?,exam_revaluation_process
how to apply for rechecking,exam_revaluation_process
റീവാല്യുവേഷൻ എങ്ങനെ ചെയ്യാം?,exam_revaluation_process
Are calculators allowed exam hall rules?,calculators_in_exam
can i use calculator,calculators_in_exam
പരീക്ഷാ ഹാളിൽ കാൽക്കുലേറ്റർ അനുവദിക്കുമോ?,calculators_in_exam
What is exam malpractice penalty actions?,exam_malpractice_penalty
punishment for cheating in exam,exam_malpractice_penalty
പരീക്ഷയ്ക്ക് കോപ്പിയടിച്ചാലുള്ള ശിക്ഷ എന്താണ്?,exam_malpractice_penalty
How to check exam results online?,check_exam_results
where to see my results,check_exam_results
പരീക്ഷാ ഫലം എങ്ങനെ പരിശോധിക്കാം?,check_exam_results
What is exam retest supplementary policy?,exam_supplementary_policy
supply exam rules,exam_supplementary_policy
സപ്ലിമെന്ററി പരീക്ഷയുടെ നിയമങ്ങൾ എന്താണ്?,exam_supplementary_policy
Are parents allowed exam center entry?,parents_exam_center
can my mom come to exam center,parents_exam_center
രക്ഷിതാക്കൾക്ക് പരീക്ഷാ ഹാളിൽ വരാമോ?,parents_exam_center
What is exam duration question pattern?,exam_duration_pattern
how many hours is the exam,exam_duration_pattern
പരീക്ഷ എത്ര മണിക്കൂർ ആണ്?,exam_duration_pattern
How to download exam timetable schedule?,download_exam_timetable
where is the exam timetable,download_exam_timetable
പരീക്ഷാ ടൈംടേബിൾ എങ്ങനെ ഡൗൺലോഡ് ചെയ്യാം?,download_exam_timetable
What is exam attendance requirement rules?,exam_attendance_rules
attendance to write exam,exam_attendance_rules
പരീക്ഷ എഴുതാൻ എത്ര ഹാജർ വേണം?,exam_attendance_rules
Can exam be postponed medical emergency?,postpone_exam_medical
missed exam due to fever,postpone_exam_medical
അസുഖം കാരണം പരീക്ഷ മാറ്റിവെക്കാമോ?,postpone_exam_medical
What is exam answer sheet evaluation method?,exam_evaluation_method
how are papers corrected,exam_evaluation_method
പരീക്ഷാ പേപ്പർ എങ്ങനെയാണ് നോക്കുന്നത്?,exam_evaluation_method
Are open book exams allowed subjects?,open_book_exams
is it an open book exam,open_book_exams
ഓപ്പൺ ബുക്ക് പരീക്ഷകൾ ഉണ്ടോ?,open_book_exams
What is exam grading moderation policy?,exam_grading_moderation
do they give moderation marks,exam_grading_moderation
മോഡറേഷൻ മാർക്ക് ലഭിക്കുമോ?,exam_grading_moderation
How to apply exam improvement attempt?,exam_improvement_attempt
write improvement exam,exam_improvement_attempt
ഇമ്പ്രൂവ്മെന്റ് പരീക്ഷയ്ക്ക് എങ്ങനെ അപേക്ഷിക്കാം?,exam_improvement_attempt
What is exam center location details?,exam_center_location
where is my exam center,exam_center_location
എന്റെ പരീക്ഷാ കേന്ദ്രം എവിടെയാണ്?,exam_center_location
Are mobile phones allowed exam hall?,mobile_phones_in_exam
can i take my phone to exam,mobile_phones_in_exam
മൊബൈൽ ഫോൺ പരീക്ഷാ ഹാളിൽ കൊണ്ടുപോകാമോ?,mobile_phones_in_exam
What is exam invigilator rules instructions?,exam_invigilator_instructions
invigilator strictness,exam_invigilator_instructions
ഇൻവിജിലേറ്ററുടെ നിയമങ്ങൾ എന്തൊക്കെയാണ്?,exam_invigilator_instructions
What is the procedure to report exam discrepancies?,report_exam_discrepancy
report mistake in question paper,report_exam_discrepancy
പരീക്ഷാ ചോദ്യപേപ്പറിൽ തെറ്റുണ്ടെങ്കിൽ എന്തുചെയ്യണം?,report_exam_discrepancy
What is the supplementary exam registration process?,supplementary_registration
how to apply for supply,supplementary_registration
സപ്ലിമെന്ററി പരീക്ഷയ്ക്ക് എങ്ങനെ അപേക്ഷിക്കാം?,supplementary_registration
Are students allowed to choose their exam center?,choose_exam_center
can i pick my exam center,choose_exam_center
എനിക്ക് പരീക്ഷാ കേന്ദ്രം തിരഞ്ഞെടുക്കാമോ?,choose_exam_center
What are the minimum passing marks for exams?,exam_pass_criteria
passing marks for exam,exam_pass_criteria
ജയിക്കാൻ എത്ര മാർക്ക് വേണം?,exam_pass_criteria
Are the proctoring rules strict for online exams?,online_exam_proctoring
is online exam strictly monitored,online_exam_proctoring
ഓൺലൈൻ പരീക്ഷയ്ക്ക് നിരീക്ഷണം കർശനമാണോ?,online_exam_proctoring
What is the procedure to report exam malpractice?,report_exam_malpractice
how to report copying in exam,report_exam_malpractice
